timesteps,episode,success
22761,881,1
22773,882,1
22781,883,1
22788,884,1
22790,885,1
22798,886,1
22806,887,1
22810,888,1
22814,889,1
22815,890,1
22818,891,1
22819,892,1
22830,893,1
22854,894,1
22872,895,1
22874,896,1
22879,897,1
22883,898,1
22886,899,1
22890,900,1
22900,901,1
22904,902,1
22908,903,1
22909,904,1
22914,905,1
22915,906,1
22928,907,1
22934,908,1
22939,909,1
22989,910,0
23001,911,1
23022,912,1
23024,913,1
23029,914,1
23041,915,1
23042,916,1
23045,917,1
23048,918,1
23052,919,1
23054,920,1
23055,921,1
23057,922,1
23063,923,1
23068,924,1
23118,925,0
23144,926,1
23151,927,1
23165,928,1
23171,929,1
23201,930,1
23203,931,1
23208,932,1
23218,933,1
23219,934,1
23225,935,1
23234,936,1
23240,937,1
23243,938,1
23252,939,1
23259,940,1
23274,941,1
23287,942,1
23289,943,1
23339,944,0
23342,945,1
23346,946,1
23350,947,1
23354,948,1
23368,949,1
23372,950,1
23374,951,1
23378,952,1
23380,953,1
23382,954,1
23385,955,1
23392,956,1
23404,957,1
23407,958,1
23410,959,1
23420,960,1
23423,961,1
23426,962,1
23432,963,1
23438,964,1
23488,965,0
23495,966,1
23497,967,1
23501,968,1
23508,969,1
23512,970,1
23523,971,1
23528,972,1
23535,973,1
23564,974,1
23567,975,1
23568,976,1
23571,977,1
23574,978,1
23579,979,1
23583,980,1
23586,981,1
23594,982,1
23596,983,1
23601,984,1
23610,985,1
23618,986,1
23621,987,1
23629,988,1
23631,989,1
23634,990,1
23637,991,1
23647,992,1
23648,993,1
23656,994,1
23660,995,1
23663,996,1
23667,997,1
23673,998,1
23679,999,1
23689,1000,1
23697,1001,1
23701,1002,1
23713,1003,1
23726,1004,1
23730,1005,1
23736,1006,1
23741,1007,1
23745,1008,1
23746,1009,1
23753,1010,1
23758,1011,1
23766,1012,1
23768,1013,1
23771,1014,1
23777,1015,1
23792,1016,1
23796,1017,1
23803,1018,1
23805,1019,1
23809,1020,1
23811,1021,1
23816,1022,1
23818,1023,1
23820,1024,1
23824,1025,1
23830,1026,1
23841,1027,1
23845,1028,1
23847,1029,1
23849,1030,1
23851,1031,1
23860,1032,1
23868,1033,1
23875,1034,1
23879,1035,1
23886,1036,1
23888,1037,1
23891,1038,1
23895,1039,1
23900,1040,1
23911,1041,1
23917,1042,1
23926,1043,1
23929,1044,1
23937,1045,1
23940,1046,1
23943,1047,1
23945,1048,1
23950,1049,1
23962,1050,1
23969,1051,1
23972,1052,1
23976,1053,1
23980,1054,1
24030,1055,0
24032,1056,1
24039,1057,1
