#{"t_start": 1755965729.7466593, "env_id": "PandaReach-v3"}
r,l,t
-4.0,5,358.19569
-12.0,13,358.491971
-4.0,5,358.599743
-7.0,8,358.860563
-1.0,2,358.904635
-4.0,5,359.024571
-4.0,5,359.133013
-5.0,6,359.267193
-4.0,5,359.381089
-5.0,6,359.520224
-50.0,50,360.667981
-18.0,19,361.089715
-7.0,8,361.260168
-3.0,4,361.351091
-50.0,50,362.307041
-50.0,50,363.435599
-2.0,3,363.50839
-33.0,34,364.305282
-1.0,2,364.344428
-2.0,3,364.402758
-1.0,2,364.440211
-50.0,50,365.414819
-6.0,7,365.575033
-3.0,4,365.668801
-2.0,3,365.738355
-35.0,36,366.583627
-50.0,50,367.642586
-2.0,3,367.69603
-8.0,9,367.859608
-4.0,5,367.965781
-15.0,16,368.264536
-27.0,28,368.91003
-3.0,4,369.002906
-6.0,7,369.175821
-2.0,3,369.243895
-2.0,3,369.3109
-15.0,16,369.677145
-3.0,4,369.782033
-8.0,9,369.981481
-4.0,5,370.090705
-7.0,8,370.276168
-5.0,6,370.409163
-12.0,13,370.640472
0.0,1,370.659488
-3.0,4,370.730608
-5.0,6,370.844844
-6.0,7,370.972345
-15.0,16,371.265783
-3.0,4,371.354205
-3.0,4,371.458673
-8.0,9,371.665607
-50.0,50,372.880284
-6.0,7,373.037727
-7.0,8,373.238638
-1.0,2,373.295118
-11.0,12,373.52282
-1.0,2,373.559212
-2.0,3,373.628653
-3.0,4,373.706278
-2.0,3,373.763135
0.0,1,373.781703
-6.0,7,373.916231
-50.0,50,375.023646
-13.0,14,375.345314
-7.0,8,375.521589
-1.0,2,375.578212
-29.0,30,376.266541
-1.0,2,376.312846
-50.0,50,377.309532
-2.0,3,377.377231
-3.0,4,377.46718
-50.0,50,378.654393
-50.0,50,379.725859
-2.0,3,379.792778
-1.0,2,379.831887
-4.0,5,379.926993
-50.0,50,381.047494
-2.0,3,381.13023
-2.0,3,381.201338
-3.0,4,381.291228
-50.0,50,382.505918
-24.0,25,382.985977
-2.0,3,383.044426
-7.0,8,383.201361
-2.0,3,383.262096
-15.0,16,383.588763
-10.0,11,383.841584
0.0,1,383.865556
-18.0,19,384.306781
-9.0,10,384.546886
-17.0,18,384.957612
-17.0,18,385.383065
-2.0,3,385.452265
-2.0,3,385.526673
-50.0,50,386.557567
-1.0,2,386.604465
0.0,1,386.628524
-4.0,5,386.757497
-1.0,2,386.803574
-12.0,13,387.112781
-21.0,22,387.681725
-2.0,3,387.768439
-3.0,4,387.872633
-4.0,5,387.998387
-3.0,4,388.098205
-10.0,11,388.384448
-9.0,10,388.629421
-4.0,5,388.755201
-2.0,3,388.824178
-2.0,3,388.903305
-3.0,4,388.994251
-2.0,3,389.059582
-13.0,14,389.377306
-1.0,2,389.437898
0.0,1,389.46294
-50.0,50,390.616579
-2.0,3,390.675742
-4.0,5,390.782527
-3.0,4,390.861504
-11.0,12,391.083977
-7.0,8,391.238685
-2.0,3,391.313039
-3.0,4,391.386144
-5.0,6,391.501201
-50.0,50,392.715743
-5.0,6,392.866169
-1.0,2,392.911721
-5.0,6,393.045444
-4.0,5,393.157534
-31.0,32,393.843429
-50.0,50,394.912146
-7.0,8,395.090384
-50.0,50,396.279611
-50.0,50,397.450821
-8.0,9,397.655297
-50.0,50,398.643627
-1.0,2,398.688363
-1.0,2,398.811815
-2.0,3,398.889548
-3.0,4,398.976976
-50.0,50,400.206075
-50.0,50,401.310594
-6.0,7,401.448693
-35.0,36,402.22367
-1.0,2,402.26985
-9.0,10,402.514352
-19.0,20,402.985426
-5.0,6,403.127221
-4.0,5,403.246385
-50.0,50,404.287436
-3.0,4,404.363257
-3.0,4,404.442292
-21.0,22,404.898731
-12.0,13,405.212862
-10.0,11,405.477036
-6.0,7,405.646952
-50.0,50,407.019577
-5.0,6,407.138665
