#{"t_start": 1756043710.4567063, "env_id": "PandaPush-v3"}
r,l,t
-27.0,28,682.600375
-50.0,50,684.134041
-50.0,50,685.583494
-50.0,50,687.237816
-50.0,50,688.749262
-50.0,50,690.396123
-50.0,50,691.77507
0.0,1,691.802351
-50.0,50,693.346581
-50.0,50,694.695147
-50.0,50,696.299562
-50.0,50,697.905853
-50.0,50,699.475931
-50.0,50,700.812235
-50.0,50,702.12733
-50.0,50,703.52392
0.0,1,703.562027
0.0,1,703.59312
0.0,1,703.62196
-50.0,50,705.122218
-31.0,32,706.106057
-50.0,50,707.69784
-50.0,50,709.236202
-50.0,50,710.596929
-50.0,50,712.039091
-50.0,50,713.648372
-50.0,50,715.032041
-50.0,50,716.644101
-50.0,50,718.067202
-50.0,50,719.555525
-50.0,50,721.257295
-50.0,50,723.090066
-50.0,50,724.776979
-50.0,50,726.063074
-50.0,50,727.336537
-50.0,50,728.638534
-50.0,50,729.938243
-50.0,50,731.233571
-50.0,50,733.173208
-50.0,50,735.030502
-50.0,50,736.539199
-50.0,50,738.434942
-50.0,50,740.036507
-50.0,50,741.557462
-50.0,50,743.267589
-50.0,50,745.037224
-50.0,50,746.614678
0.0,1,746.660153
-50.0,50,748.442487
-50.0,50,749.942842
-50.0,50,751.476375
-50.0,50,753.200772
-50.0,50,754.748983
-50.0,50,756.229026
-50.0,50,757.634175
-50.0,50,759.283664
-50.0,50,760.898024
-50.0,50,762.587749
-50.0,50,764.272152
-50.0,50,765.786081
-50.0,50,767.212199
-50.0,50,768.546313
-50.0,50,770.076412
-50.0,50,771.858039
-50.0,50,773.598174
-50.0,50,775.234983
-50.0,50,776.666033
-50.0,50,778.323853
-50.0,50,779.839483
-50.0,50,781.239305
-50.0,50,782.642668
-50.0,50,784.00051
-50.0,50,785.667944
-50.0,50,787.348605
-50.0,50,789.01913
-50.0,50,790.845607
-50.0,50,792.619299
0.0,1,792.647166
-50.0,50,794.420574
-50.0,50,795.973882
-50.0,50,797.538177
-50.0,50,799.292382
-50.0,50,800.965197
-50.0,50,802.449394
-50.0,50,804.093286
-50.0,50,805.847691
0.0,1,805.876124
-50.0,50,807.407175
-50.0,50,808.775683
-50.0,50,810.259607
-50.0,50,811.810979
-50.0,50,813.552414
0.0,1,813.591679
-50.0,50,815.226879
-50.0,50,816.827674
-50.0,50,818.437516
-50.0,50,819.810338
-50.0,50,821.704294
-50.0,50,823.368922
-50.0,50,824.976396
-50.0,50,826.763628
-50.0,50,828.320347
-50.0,50,829.945742
-50.0,50,831.591985
-50.0,50,832.964615
-50.0,50,834.301061
-50.0,50,835.730423
-50.0,50,837.213474
-50.0,50,838.573669
-50.0,50,840.278561
-50.0,50,841.858137
0.0,1,841.895565
-50.0,50,843.494909
-50.0,50,845.401684
-50.0,50,846.872859
-50.0,50,848.481054
-50.0,50,849.901302
-50.0,50,851.360005
-50.0,50,852.946301
-50.0,50,854.599579
0.0,1,854.639339
-50.0,50,856.524681
-50.0,50,858.042284
-50.0,50,859.581864
-50.0,50,861.003243
-50.0,50,862.501329
-50.0,50,864.001849
-50.0,50,865.652444
-50.0,50,867.372845
-50.0,50,868.867259
-50.0,50,870.409973
-50.0,50,871.743401
-50.0,50,873.279256
-50.0,50,874.917682
-50.0,50,876.378804
-50.0,50,877.949447
-15.0,16,878.427464
-50.0,50,880.100621
-50.0,50,881.877496
-50.0,50,883.20887
-50.0,50,884.863876
-50.0,50,886.31998
-50.0,50,887.982871
-50.0,50,889.624021
0.0,1,889.681855
-50.0,50,891.318414
-50.0,50,893.016892
-50.0,50,894.650004
0.0,1,894.719612
-50.0,50,896.219985
-50.0,50,898.077501
0.0,1,898.114031
-50.0,50,899.648272
-50.0,50,901.473775
-50.0,50,903.152247
-50.0,50,904.553902
-50.0,50,906.031942
-50.0,50,907.625583
-50.0,50,909.139529
-50.0,50,910.683779
-50.0,50,912.378976
-50.0,50,913.886233
-50.0,50,915.506503
0.0,1,915.533018
-50.0,50,917.337806
-50.0,50,918.664505
-50.0,50,920.257671
-50.0,50,921.88641
-50.0,50,923.678183
-50.0,50,925.570415
-50.0,50,927.358358
-50.0,50,929.247017
-50.0,50,931.064301
-50.0,50,932.715299
-50.0,50,934.232247
-50.0,50,935.588835
-50.0,50,937.133646
-50.0,50,939.224645
-50.0,50,941.140833
-50.0,50,942.806822
-50.0,50,944.619967
-50.0,50,946.223096
-50.0,50,948.238202
-50.0,50,950.128129
-50.0,50,951.857706
0.0,1,951.887709
-50.0,50,953.801304
-50.0,50,955.837471
-50.0,50,958.042553
-50.0,50,959.644845
-50.0,50,961.187134
-50.0,50,962.693029
-50.0,50,964.255634
-50.0,50,965.975317
-50.0,50,967.526166
-50.0,50,969.28541
-50.0,50,970.874135
-50.0,50,972.596604
-50.0,50,974.315684
-50.0,50,975.805898
-50.0,50,977.757774
-50.0,50,979.773001
-50.0,50,981.240659
-50.0,50,982.738983
-50.0,50,984.277147
-50.0,50,985.889828
-50.0,50,987.282241
-50.0,50,988.929862
